,LBRRY_NM,LBRRY_ADDR,lat,lon,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_NM
0,포천시립중앙도서관,경기도 포천시 신북면 중앙로207번길 26,37.9053026,127.206376,경기도,포천시,공공
1,포천시립소흘도서관,경기도 포천시 소흘읍 송우로 101-29,37.8296046,127.1375338,경기도,포천시,공공
2,포천시립일동도서관,경기도 포천시 일동면 화동로 1021,37.9549363,127.3154556,경기도,포천시,공공
3,포천시립영중꿈나무도서관,경기도 포천시 영중면 양문로 151,38.0056285,127.2453024,경기도,포천시,공공
4,포천시립영북도서관,경기도 포천시 영북면 운천안길 3,38.0876825,127.2741705,경기도,포천시,공공
5,포천시립가산도서관,경기도 포천시 가산면 선마로 223,37.8484029,127.186356,경기도,포천시,공공
6,통영시립도서관,경상남도 통영시 무전3길 29,34.8618204,128.424713,경상남도,통영시,공공
7,꿈이랑도서관,경상남도 통영시 산양읍 둔전길 155,34.8028677,128.393474,경상남도,통영시,공공
8,통영시립욕지도서관,경상남도 통영시 욕지면 중촌길 203,34.6367834,128.263369,경상남도,통영시,공공
9,통영시립충무도서관,경상남도 통영시 용남면 기호바깥길 7-87,34.8732994,128.420478,경상남도,통영시,공공
10,원주시립중앙도서관,강원도 원주시 서원대로 472-12,37.340307,127.93585,강원도,원주시,공공
11,원주시립태장도서관,강원도 원주시 양지로 46,37.3536617,127.9431874,강원도,원주시,공공
12,포항시립대잠도서관,경상북도 포항시 남구 시청로 1,36.0191816,129.3432983,경상북도,포항시 남구,공공
13,포항시립영암도서관,경상북도 포항시 남구 상공로 46번길 11,36.0127761,129.357763,경상북도,포항시 남구,공공
14,포항시립포은중앙도서관,경상북도 포항시 북구 삼호로 31,36.0437354,129.3673931,경상북도,포항시 북구,공공
15,포항시립오천공공도서관,경상북도 포항시 남구 오천읍 정몽주로 566,35.9686415,129.416446,경상북도,포항시 남구,공공
16,포항시립동해석곡도서관,경상북도 포항시 남구 동해면 일월로41번길 19,35.9908951,129.437424,경상북도,포항시 남구,공공
17,해도동 바다섬작은도서관,경상북도 포항시 남구 중앙로68번길 7,36.0194979,129.370468,경상북도,포항시 남구,작은
18,양학동 부학작은도서관,"경상북도 포항시 북구 양학로 22, 2층",36.02547,129.35056,경상북도,포항시 북구,작은
19,신광면 비학산작은도서관,경상북도 포항시 북구 신광면 토성길25번길 10-5,36.1298718,129.261625,경상북도,포항시 북구,작은
20,두호동 두무치작은도서관,경상북도  포항시 북구 삼호로203번길 22,36.0574535,129.374743,경상북도,포항시 북구,작은
21,청림동 푸른숲작은도서관,"경상북도 포항시 남구 동해안로 6001, 청림마을 독서실 2층",35.9926071,129.410481,경상북도,포항시 남구,작은
22,효곡동 행복작은도서관,경상북도 포항시 남구 새천년대로 306,36.0061655,129.332913,경상북도,포항시 남구,작은
23,오천읍 해와달작은도서관,"경상북도 포항시 남구 오천읍 철강로 685, 준양참마을 관리실 2층",35.96402,129.4016,경상북도,포항시 남구,작은
24,장량동 참사랑작은도서관,경상북도 포항시 북구 침촌로 20,36.0825892,129.3775857,경상북도,포항시 북구,작은
25,상대동 큰섬마을작은도서관,경상북도 포항시 남구 대해로91번길 22,36.0233368,129.364019,경상북도,포항시 남구,작은
26,연일읍 미르작은도서관,"경상북도 포항시 남구 연일읍 유강길10번길 49, 코아루1단지아파트",36.00766,129.32019,경상북도,포항시 남구,작은
27,대송면 큰솔작은도서관,경상북도 포항시 남구 대송면 운제로 111,35.97817,129.36225,경상북도,포항시 남구,작은
28,죽도동 청암작은도서관,경상북도 포항시 북구 죽도로 82-2,36.03312,129.36951,경상북도,포항시 북구,작은
29,효곡동 그린숲작은도서관,경상북도 포항시 남구 지곡로278번길 2,36.0297139,129.32309,경상북도,포항시 남구,작은
30,송도동 솔향작은도서관,"경상북도 포항시 남구 서동로 162, 태왕아너스 관리소 2층",36.0389457,129.376003,경상북도,포항시 남구,작은
31,오천읍 그루터기작은도서관,경상북도 포항시 남구 오천읍 정몽주로 481,35.96289,129.4115,경상북도,포항시 남구,작은
32,환여동 해맞이꿈터작은도서관,경상북도 포항시 북구 삼호로 391,36.0699147,129.39142,경상북도,포항시 북구,작은
33,기계면 버드내작은도서관,경상북도 포항시 북구 기계면 기계로 94,36.0704002,129.20648,경상북도,포항시 북구,작은
34,환여동 환호어린이작은도서관,경상북도 포항시 북구 환호공원길 30,36.0677253,129.393047,경상북도,포항시 북구,작은
35,청림동 찬내작은도서관,경상북도 포항시 남구 정몽주로879번길 9-1,35.99286,129.40438,경상북도,포항시 남구,작은
36,죽도동 맑은물작은도서관,"경상북도 포항시 북구 죽도로 30, 빗물펌프장 1층",36.03302,129.36473,경상북도,포항시 북구,작은
