,월,지역,연령,성별,회원수,대출건수,독서량
0,1,강원도,영유아(0-5),남자,1480,182,8.132
1,1,강원도,영유아(0-5),여자,1403,150,9.353
2,1,강원도,유아(6-7),남자,2108,246,8.569
3,1,강원도,유아(6-7),여자,1774,208,8.529
4,1,강원도,초등(8-13),남자,12535,1515,8.274
5,1,강원도,초등(8-13),여자,14195,1775,7.997
6,1,강원도,청소년(14-19),남자,4454,987,4.513
7,1,강원도,청소년(14-19),여자,6862,1579,4.346
8,1,강원도,20대,남자,3727,793,4.7
9,1,강원도,20대,여자,5823,1386,4.201
10,1,강원도,30대,남자,7398,1186,6.238
11,1,강원도,30대,여자,19416,2822,6.88
12,1,강원도,40대,남자,17614,2469,7.134
13,1,강원도,40대,여자,26973,4102,6.576
14,1,강원도,50대,남자,7770,1254,6.196
15,1,강원도,50대,여자,8007,1459,5.488
16,1,강원도,60대이상,남자,7590,1032,7.355
17,1,강원도,60대이상,여자,3814,630,6.054
18,1,경기도,영유아(0-5),남자,33589,2825,11.89
19,1,경기도,영유아(0-5),여자,35651,2843,12.54
20,1,경기도,유아(6-7),남자,57165,4676,12.225
21,1,경기도,유아(6-7),여자,58318,4517,12.911
22,1,경기도,초등(8-13),남자,242473,24017,10.096
23,1,경기도,초등(8-13),여자,250969,25058,10.016
24,1,경기도,청소년(14-19),남자,55573,11517,4.825
25,1,경기도,청소년(14-19),여자,81274,17558,4.629
26,1,경기도,20대,남자,46245,12286,3.764
27,1,경기도,20대,여자,90955,23315,3.901
28,1,경기도,30대,남자,112439,16944,6.636
29,1,경기도,30대,여자,387255,47021,8.236
30,1,경기도,40대,남자,348554,43087,8.09
31,1,경기도,40대,여자,675155,80281,8.41
32,1,경기도,50대,남자,104683,18422,5.682
33,1,경기도,50대,여자,119577,21630,5.528
34,1,경기도,60대이상,남자,80602,12833,6.281
35,1,경기도,60대이상,여자,54132,8593,6.3
36,1,경상남도,영유아(0-5),남자,6533,755,8.653
37,1,경상남도,영유아(0-5),여자,6282,711,8.835
38,1,경상남도,유아(6-7),남자,8587,992,8.656
39,1,경상남도,유아(6-7),여자,7884,912,8.645
40,1,경상남도,초등(8-13),남자,38893,4835,8.044
41,1,경상남도,초등(8-13),여자,39220,4939,7.941
42,1,경상남도,청소년(14-19),남자,9604,2105,4.562
43,1,경상남도,청소년(14-19),여자,14457,3337,4.332
44,1,경상남도,20대,남자,5802,1633,3.553
45,1,경상남도,20대,여자,10855,2754,3.942
46,1,경상남도,30대,남자,13868,2352,5.896
47,1,경상남도,30대,여자,48444,7119,6.805
48,1,경상남도,40대,남자,35353,5228,6.762
49,1,경상남도,40대,여자,67775,9994,6.782
50,1,경상남도,50대,남자,10693,2081,5.138
51,1,경상남도,50대,여자,11900,2442,4.873
52,1,경상남도,60대이상,남자,10058,1556,6.464
53,1,경상남도,60대이상,여자,6703,1080,6.206
54,1,경상북도,영유아(0-5),남자,3523,374,9.42
55,1,경상북도,영유아(0-5),여자,3323,341,9.745
56,1,경상북도,유아(6-7),남자,5176,537,9.639
57,1,경상북도,유아(6-7),여자,4296,482,8.913
58,1,경상북도,초등(8-13),남자,22552,2662,8.472
59,1,경상북도,초등(8-13),여자,21468,2558,8.392
60,1,경상북도,청소년(14-19),남자,6207,1352,4.591
61,1,경상북도,청소년(14-19),여자,11132,2517,4.423
62,1,경상북도,20대,남자,4913,1149,4.276
63,1,경상북도,20대,여자,7963,1828,4.356
64,1,경상북도,30대,남자,11273,1608,7.011
65,1,경상북도,30대,여자,32869,4431,7.418
66,1,경상북도,40대,남자,23911,3197,7.479
67,1,경상북도,40대,여자,40629,5931,6.85
68,1,경상북도,50대,남자,7710,1368,5.636
69,1,경상북도,50대,여자,9611,1753,5.483
70,1,경상북도,60대이상,남자,7650,1097,6.974
71,1,경상북도,60대이상,여자,5326,744,7.159
72,1,광주광역시,영유아(0-5),남자,2217,231,9.597
73,1,광주광역시,영유아(0-5),여자,1268,149,8.51
74,1,광주광역시,유아(6-7),남자,3489,360,9.692
75,1,광주광역시,유아(6-7),여자,2422,245,9.886
76,1,광주광역시,초등(8-13),남자,13654,1645,8.3
77,1,광주광역시,초등(8-13),여자,14082,1654,8.514
78,1,광주광역시,청소년(14-19),남자,3138,669,4.691
79,1,광주광역시,청소년(14-19),여자,5325,1176,4.528
80,1,광주광역시,20대,남자,2456,641,3.832
81,1,광주광역시,20대,여자,5084,1280,3.972
82,1,광주광역시,30대,남자,6889,1002,6.875
83,1,광주광역시,30대,여자,22282,3069,7.26
84,1,광주광역시,40대,남자,18595,2485,7.483
85,1,광주광역시,40대,여자,29910,4304,6.949
86,1,광주광역시,50대,남자,4672,853,5.477
87,1,광주광역시,50대,여자,5374,1097,4.899
88,1,광주광역시,60대이상,남자,4479,764,5.863
89,1,광주광역시,60대이상,여자,3304,515,6.416
90,1,대구광역시,영유아(0-5),남자,4337,325,13.345
91,1,대구광역시,영유아(0-5),여자,4806,352,13.653
92,1,대구광역시,유아(6-7),남자,7998,634,12.615
93,1,대구광역시,유아(6-7),여자,7564,623,12.141
94,1,대구광역시,초등(8-13),남자,38848,3614,10.749
95,1,대구광역시,초등(8-13),여자,41752,3820,10.93
96,1,대구광역시,청소년(14-19),남자,9247,1862,4.966
97,1,대구광역시,청소년(14-19),여자,15560,3083,5.047
98,1,대구광역시,20대,남자,7392,1899,3.893
99,1,대구광역시,20대,여자,15042,3679,4.089
100,1,대구광역시,30대,남자,18977,2519,7.534
101,1,대구광역시,30대,여자,74763,8215,9.101
102,1,대구광역시,40대,남자,52698,5771,9.132
103,1,대구광역시,40대,여자,107452,12485,8.606
104,1,대구광역시,50대,남자,14908,2513,5.932
105,1,대구광역시,50대,여자,19266,3373,5.712
106,1,대구광역시,60대이상,남자,13272,2287,5.803
107,1,대구광역시,60대이상,여자,10444,1519,6.876
108,1,대전광역시,영유아(0-5),남자,2821,298,9.466
109,1,대전광역시,영유아(0-5),여자,2749,265,10.374
110,1,대전광역시,유아(6-7),남자,4903,493,9.945
111,1,대전광역시,유아(6-7),여자,5015,498,10.07
112,1,대전광역시,초등(8-13),남자,25157,2823,8.911
113,1,대전광역시,초등(8-13),여자,26029,2886,9.019
114,1,대전광역시,청소년(14-19),남자,7230,1360,5.316
115,1,대전광역시,청소년(14-19),여자,10212,1962,5.205
116,1,대전광역시,20대,남자,4344,987,4.401
117,1,대전광역시,20대,여자,8732,1871,4.667
118,1,대전광역시,30대,남자,9879,1415,6.982
119,1,대전광역시,30대,여자,30597,3893,7.859
120,1,대전광역시,40대,남자,29875,3793,7.876
121,1,대전광역시,40대,여자,50914,6900,7.379
122,1,대전광역시,50대,남자,10815,1739,6.219
123,1,대전광역시,50대,여자,11310,1993,5.675
124,1,대전광역시,60대이상,남자,8671,1240,6.993
125,1,대전광역시,60대이상,여자,6877,886,7.762
126,1,부산광역시,영유아(0-5),남자,7916,619,12.788
127,1,부산광역시,영유아(0-5),여자,6330,544,11.636
128,1,부산광역시,유아(6-7),남자,10439,925,11.285
129,1,부산광역시,유아(6-7),여자,10886,955,11.399
130,1,부산광역시,초등(8-13),남자,56714,5694,9.96
131,1,부산광역시,초등(8-13),여자,56638,5812,9.745
132,1,부산광역시,청소년(14-19),남자,13313,2800,4.755
133,1,부산광역시,청소년(14-19),여자,21403,4525,4.73
134,1,부산광역시,20대,남자,10862,2537,4.281
135,1,부산광역시,20대,여자,19685,4734,4.158
136,1,부산광역시,30대,남자,24025,3661,6.562
137,1,부산광역시,30대,여자,71374,9633,7.409
138,1,부산광역시,40대,남자,76451,9668,7.908
139,1,부산광역시,40대,여자,124884,16694,7.481
140,1,부산광역시,50대,남자,25865,4092,6.321
141,1,부산광역시,50대,여자,27054,4637,5.834
142,1,부산광역시,60대이상,남자,23963,3311,7.237
143,1,부산광역시,60대이상,여자,18194,2453,7.417
144,1,서울특별시,영유아(0-5),남자,17653,1859,9.496
145,1,서울특별시,영유아(0-5),여자,19140,1851,10.34
146,1,서울특별시,유아(6-7),남자,32144,3159,10.175
147,1,서울특별시,유아(6-7),여자,30209,2988,10.11
148,1,서울특별시,초등(8-13),남자,145716,16339,8.918
149,1,서울특별시,초등(8-13),여자,157863,17518,9.011
150,1,서울특별시,청소년(14-19),남자,36484,7555,4.829
151,1,서울특별시,청소년(14-19),여자,50821,10947,4.642
152,1,서울특별시,20대,남자,29656,7981,3.716
153,1,서울특별시,20대,여자,66379,17870,3.715
154,1,서울특별시,30대,남자,73790,12853,5.741
155,1,서울특별시,30대,여자,232433,36362,6.392
156,1,서울특별시,40대,남자,234038,32123,7.286
157,1,서울특별시,40대,여자,421370,61944,6.802
158,1,서울특별시,50대,남자,78528,13968,5.622
159,1,서울특별시,50대,여자,84782,16972,4.995
160,1,서울특별시,60대이상,남자,62827,10340,6.076
161,1,서울특별시,60대이상,여자,48432,7822,6.192
162,1,세종특별자치시,영유아(0-5),남자,867,104,8.337
163,1,세종특별자치시,영유아(0-5),여자,240,26,9.231
164,1,세종특별자치시,유아(6-7),남자,1036,131,7.908
165,1,세종특별자치시,유아(6-7),여자,553,66,8.379
166,1,세종특별자치시,초등(8-13),남자,6554,859,7.63
167,1,세종특별자치시,초등(8-13),여자,3950,508,7.776
168,1,세종특별자치시,청소년(14-19),남자,2178,463,4.704
169,1,세종특별자치시,청소년(14-19),여자,1979,414,4.78
170,1,세종특별자치시,20대,남자,1026,247,4.154
171,1,세종특별자치시,20대,여자,1677,466,3.599
172,1,세종특별자치시,30대,남자,3247,613,5.297
173,1,세종특별자치시,30대,여자,7540,1243,6.066
174,1,세종특별자치시,40대,남자,9887,1660,5.956
175,1,세종특별자치시,40대,여자,12423,2001,6.208
176,1,세종특별자치시,50대,남자,3170,620,5.113
177,1,세종특별자치시,50대,여자,2446,511,4.787
178,1,세종특별자치시,60대이상,남자,2020,320,6.313
179,1,세종특별자치시,60대이상,여자,1382,206,6.709
180,1,울산광역시,영유아(0-5),남자,2362,341,6.927
181,1,울산광역시,영유아(0-5),여자,3972,508,7.819
182,1,울산광역시,유아(6-7),남자,2904,355,8.18
183,1,울산광역시,유아(6-7),여자,4900,611,8.02
184,1,울산광역시,초등(8-13),남자,15617,1925,8.113
185,1,울산광역시,초등(8-13),여자,21490,2800,7.675
186,1,울산광역시,청소년(14-19),남자,4976,1150,4.327
187,1,울산광역시,청소년(14-19),여자,7746,1775,4.364
188,1,울산광역시,20대,남자,3312,855,3.874
189,1,울산광역시,20대,여자,6102,1550,3.937
190,1,울산광역시,30대,남자,9713,1516,6.407
