ANALS_TRGET_YEAR,ANALS_TRGET_MT,AGE_FLAG_NM,KWRD_RANK_CO,KWRD_NM,FQ_CO
"2021","12","20대","1","사람","4679"
"2021","12","20대","2","자신","2011"
"2021","12","20대","3","사랑","1781"
"2021","12","20대","4","세계","1713"
"2021","12","20대","5","생각","1679"
"2021","12","20대","6","투자","1622"
"2021","12","20대","7","독자","1449"
"2021","12","20대","8","시작","1439"
"2021","12","20대","9","인생","1287"
"2021","12","20대","10","마음","1278"
"2021","12","20대","11","방법","1224"
"2021","12","20대","12","이유","1166"
"2021","12","20대","13","시간","960"
"2021","12","20대","14","문제","956"
"2021","12","20대","15","인간","918"
"2021","12","20대","16","필요","889"
"2021","12","20대","17","미국","871"
"2021","12","20대","18","사회","867"
"2021","12","20대","19","행복","853"
"2021","12","20대","20","시대","831"
"2021","12","20대","21","일본","814"
"2021","12","20대","22","가지","803"
"2021","12","20대","23","세상","778"
"2021","12","20대","24","누구","745"
"2021","12","20대","25","성공","734"
"2021","12","20대","26","최고","721"
"2021","12","20대","27","이해","705"
"2021","12","20대","28","부자","700"
"2021","12","20대","29","질문","684"
"2021","12","20대","30","다양","682"
"2021","12","20대","31","베스트셀러","676"
"2021","12","20대","32","역사","670"
"2021","12","20대","33","경험","665"
"2021","12","20대","34","공부","646"
"2021","12","20대","35","경제","643"
"2021","12","20대","36","의미","641"
"2021","12","20대","37","미래","628"
"2021","12","20대","38","한국","627"
"2021","12","20대","39","죽음","620"
"2021","12","20대","39","여성","620"
"2021","12","20대","41","존재","609"
"2021","12","20대","42","변화","605"
"2021","12","20대","42","습관","605"
"2021","12","20대","44","선택","586"
"2021","12","20대","45","지식","568"
"2021","12","20대","46","부동산","563"
"2021","12","20대","47","현실","556"
"2021","12","20대","48","기업","553"
"2021","12","20대","49","사건","547"
"2021","12","20대","50","감정","545"
"2021","12","20대","51","과정","540"
"2021","12","20대","52","관계","529"
"2021","12","20대","53","사실","521"
"2021","12","20대","54","기록","506"
"2021","12","20대","55","당신","490"
"2021","12","20대","56","기술","489"
"2021","12","20대","57","시장","485"
"2021","12","20대","58","주식","481"
"2021","12","20대","59","언어","480"
"2021","12","20대","60","기억","472"
"2021","12","20대","61","교수","455"
"2021","12","20대","62","연구","450"
"2021","12","20대","63","문장","443"
"2021","12","20대","64","비밀","442"
"2021","12","20대","65","장편소설","438"
"2021","12","20대","66","자기","437"
"2021","12","20대","67","친구","433"
"2021","12","20대","68","순간","429"
"2021","12","20대","69","처음","427"
"2021","12","20대","69","철학","427"
"2021","12","20대","71","전략","421"
"2021","12","20대","71","고민","421"
"2021","12","20대","73","이번","419"
"2021","12","20대","74","행동","415"
"2021","12","20대","75","성장","406"
"2021","12","20대","75","분야","406"
"2021","12","20대","77","모습","405"
"2021","12","20대","78","가치","404"
"2021","12","20대","79","문학","401"
"2021","12","20대","80","이름","399"
"2021","12","20대","80","오늘","399"
"2021","12","20대","82","방식","393"
"2021","12","20대","83","과학","386"
"2021","12","20대","84","설명","380"
"2021","12","20대","85","가족","378"
"2021","12","20대","85","인물","378"
"2021","12","20대","87","주인공","377"
"2021","12","20대","88","일상","376"
"2021","12","20대","89","시절","374"
"2021","12","20대","89","상황","374"
"2021","12","20대","91","활동","373"
"2021","12","20대","92","수상","372"
"2021","12","20대","93","상처","370"
"2021","12","20대","94","노력","369"
"2021","12","20대","95","기회","366"
"2021","12","20대","95","시리즈","366"
"2021","12","20대","97","얼마","365"
"2021","12","20대","97","사이","365"
"2021","12","20대","99","결정","362"
"2021","12","20대","100","마지막","359"
"2021","12","30대","1","아이","2644"
"2021","12","30대","2","사람","1965"
"2021","12","30대","3","투자","1440"
"2021","12","30대","4","엄마","1370"
"2021","12","30대","5","그림책","1264"
"2021","12","30대","6","어린이","1153"
"2021","12","30대","7","세계","1138"
"2021","12","30대","8","시작","1040"
"2021","12","30대","9","마음","1014"
"2021","12","30대","10","자신","979"
"2021","12","30대","11","사랑","971"
"2021","12","30대","12","독자","902"
"2021","12","30대","13","생각","893"
"2021","12","30대","14","공부","849"
"2021","12","30대","15","다양","847"
"2021","12","30대","16","아이들","791"
"2021","12","30대","17","역사","780"
"2021","12","30대","18","영어","773"
"2021","12","30대","19","한자","764"
"2021","12","30대","20","친구","763"
"2021","12","30대","21","방법","758"
"2021","12","30대","22","시리즈","751"
"2021","12","30대","23","과학","741"
"2021","12","30대","24","그림","712"
"2021","12","30대","25","학습","693"
"2021","12","30대","26","만화","668"
"2021","12","30대","27","이유","663"
"2021","12","30대","28","시간","641"
"2021","12","30대","29","신화","632"
"2021","12","30대","30","부모","631"
"2021","12","30대","31","아빠","570"
"2021","12","30대","32","모습","547"
"2021","12","30대","33","인생","540"
"2021","12","30대","34","부자","539"
"2021","12","30대","35","세상","525"
"2021","12","30대","36","필요","521"
"2021","12","30대","37","이해","507"
"2021","12","30대","38","학습만화","506"
"2021","12","30대","39","누구","496"
"2021","12","30대","40","문제","492"
"2021","12","30대","41","가지","488"
"2021","12","30대","42","사건","463"
"2021","12","30대","43","일본","459"
"2021","12","30대","44","미국","451"
"2021","12","30대","45","읽기","448"
"2021","12","30대","45","한국","448"
"2021","12","30대","47","과정","445"
"2021","12","30대","48","질문","444"
"2021","12","30대","49","여행","443"
"2021","12","30대","50","상상력","435"
"2021","12","30대","51","행복","434"
"2021","12","30대","51","지식","434"
"2021","12","30대","53","수학","432"
"2021","12","30대","54","초등","429"
"2021","12","30대","55","최고","426"
"2021","12","30대","56","부동산","421"
"2021","12","30대","57","시대","415"
"2021","12","30대","58","이번","401"
"2021","12","30대","59","감정","397"
"2021","12","30대","60","수상","393"
"2021","12","30대","61","가족","388"
"2021","12","30대","62","한국사","387"
"2021","12","30대","63","주식","382"
"2021","12","30대","64","경험","377"
"2021","12","30대","65","비밀","376"
"2021","12","30대","66","베스트셀러","371"
"2021","12","30대","67","마법","367"
"2021","12","30대","68","고민","364"
"2021","12","30대","69","대한민국","360"
"2021","12","30대","70","성공","351"
"2021","12","30대","71","어른","350"
"2021","12","30대","72","처음","342"
"2021","12","30대","73","해결","338"
"2021","12","30대","74","카카오프렌즈","331"
"2021","12","30대","75","구성","324"
"2021","12","30대","75","인간","324"
"2021","12","30대","77","캐릭터","318"
"2021","12","30대","77","활동","318"
"2021","12","30대","77","교육","318"
"2021","12","30대","80","문화","315"
"2021","12","30대","80","기억","315"
"2021","12","30대","82","미래","310"
"2021","12","30대","82","활용","310"
"2021","12","30대","84","습관","309"
"2021","12","30대","85","정보","308"
"2021","12","30대","86","특별","305"
"2021","12","30대","87","마법천자문","304"
"2021","12","30대","88","주인공","301"
"2021","12","30대","89","유튜브","300"
"2021","12","30대","90","경제","295"
"2021","12","30대","91","변화","290"
"2021","12","30대","92","원리","287"
"2021","12","30대","93","탐정","286"
"2021","12","30대","94","소개","279"
"2021","12","30대","94","동화","279"
"2021","12","30대","96","성장","278"
"2021","12","30대","96","엉덩이","278"
