LBRRY_CD,LBRRY_NM,LBRRY_ADDR,LBRRY_LA,LBRRY_LO,ONE_AREA_NM,TWO_AREA_NM,LBRRY_NO,API_LBRRY_NO,TEL_NO,FAX_NO,HMPG_VALUE,OPNNG_TIME,CLOSEDON_DC,LBRRY_TY_CD,LBRRY_TY_NM,FOND_MBY_VALUE,OPNNG_YEAR,ZIP_NO,X_CRDNT_VALUE,Y_CRDNT_VALUE,MUMM_LON_YEAR,BSNS_PARTCPTN_YEAR,MASTR_LBRRY_CD,LBRRY_NCM_NM,ETC_LBRRY_CD,AREA_CD,ETC_LBRRY_ADDR,ETC_LBRRY_NM,TWO_ETC_LBRRY_NM,REPRSNT_AT,ONE_AREA_CD,TWO_AREA_CD,WETHR_AREA_CD
1500,포천시립중앙도서관,경기도 포천시 신북면 중앙로207번길 26,37.9053026,127.206376,경기도,포천시,141333,141333,031-538-3911,031-538-3925,https://lib.pocheon.go.kr/center/,"종합자료실(평일 09:00~22:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(평일/주말 09:00~23:00)","매월 마지막 월요일 / 법정공휴일, 근로자의 날",1,공공,지자체,2012,11140,974187.454649355,1989533.85017912,2012,2015,1500,중앙,MA,7,경기도 포천시 신북면 가채리 770,포천시립중앙도서관,포천시립중앙도서관,Y,경기도,포천시,동두천
1501,포천시립소흘도서관,경기도 포천시 소흘읍 송우로 101-29,37.8296046,127.1375338,경기도,포천시,141172,141172,031-538-3952,031-538-3957,https://lib.pocheon.go.kr/soheul,"종합자료실(평일 09:00~22:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(평일/주말 09:00~23:00)","매월 마지막주 월요일 / 근로자의날, 법정공휴일",1,공공,지자체,,11176,968102.88990767,1981156.43538559,,2020,1500,소흘,MB,7,경기도 포천시 소흘읍 송우리 728-7,포천시립소흘도서관,소흘도서관,N,경기도,포천시,동두천
1502,포천시립일동도서관,경기도 포천시 일동면 화동로 1021,37.9549363,127.3154556,경기도,포천시,141094,141094,031-538-3932,031-538-3936,https://lib.pocheon.go.kr/ildong,"평일 09:00~22:00, 주말 09:00~18:00","매월 마지막주 월요일 / 근로자의 날, 법정공휴일",1,공공,지자체,,11120,983787.57814431,1995016.17064645,,2020,1500,일동,MC,7,경기도 포천시 일동면 기산리 284-3,포천시립일동도서관,일동도서관,N,경기도,포천시,동두천
1503,포천시립영중꿈나무도서관,경기도 포천시 영중면 양문로 151,38.0056285,127.2453024,경기도,포천시,141102,141102,031-538-3945,031-538-3943,https://lib.pocheon.go.kr/yeongjung,"평일 09:00~18:00, 주말 09:00~18:00","매주 일요일, 월요일 / 근로자의날, 법정공휴일",1,공공,지자체,,11129,977639.922502397,2000655.09988156,,2021,1500,영중,MD,7,경기도 포천시 영중면 양문리 833-2,포천시립영중어린이도서관,영중꿈나무도서관,N,경기도,포천시,동두천
1504,포천시립영북도서관,경기도 포천시 영북면 운천안길 3,38.0876825,127.2741705,경기도,포천시,141520,141520,031-538-3972,031-538-3975,https://lib.pocheon.go.kr/yeongbuk,"종합자료실(평일 09:00~20:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(평일/주말 09:00~22:00)","매주 월요일 / 근로자의날, 법정공휴일",1,공공,지자체,,11106,980196.39162798,2009752.70749070,,2020,1500,영북,ME,7,경기도 포천시 영북면 운천리 540-2,포천시립영북도서관,영북도서관,N,경기도,포천시,동두천
1505,포천시립가산도서관,경기도 포천시 가산면 선마로 223,37.8484029,127.186356,경기도,포천시,141553,141553,031-538-3987,031-538-3985,https://lib.pocheon.go.kr/gasan,"종합자료실(평일 09:00~20:00 / 주말 09:00~18:00), 어린이자료실(평일/주말 09:00~18:00), 학습실(평일 09:00~22:00 / 주말 09:00~18:00)","매주 월요일 / 근로자의날, 법정공휴일",1,공공,지자체,,11164,972406.270333668,1983226.54910362,,2021,1500,가산,MF,7,경기도 포천시 가산면 마산리 601-1,포천시립가산도서관,가산도서관,N,경기도,포천시,동두천
2200,통영시립도서관,경상남도 통영시 무전3길 29,34.8618204,128.424713,경상남도,통영시,148100,148100,055-650-2630,055-650-2639,http://www.tongyeonglib.or.kr/,"평일(화~금) 09:00~22:00(아동·유아자료실은 21:00까지), 주말(토,일) 09:00~18:00",매주 월요일 / 법정공휴일,1,공공,지자체,2010,53035,1084524.47999972,1652294.52865037,2010,2015,2200,통영시립,MC,12,경상남도 통영시 무전동 1054-4,통영시립도서관,통영시립도서관,Y,경상남도,통영시,통영
2201,꿈이랑도서관,경상남도 통영시 산양읍 둔전길 155,34.8028677,128.393474,경상남도,통영시,148038,148038,055-650-2500,055-650-2509,http://www.tongyeonglib.or.kr/,"평일(화~금) 09:00~22:00, 주말(토,일) 09:00~18:00",매주 월요일 / 법정공휴일,1,공공,지자체,1997,53084,1081727.19623401,1645730.90042203,1997,2015,2200,꿈이랑,MA,12,경상남도 통영시 산양읍 남평리 869-6,통영시립산양도서관,통영시립산양도서관,N,경상남도,통영시,통영
2202,통영시립욕지도서관,경상남도 통영시 욕지면 중촌길 203,34.6367834,128.263369,경상남도,통영시,148044,148044,055-650-4580,055-650-4581,http://www.tongyeonglib.or.kr/,09:00~18:00,매주 월요일 / 법정공휴일,1,공공,지자체,2001,53100,1069965.83043294,1627214.83453997,2001,2015,2200,욕지,MB,12,경상남도 통영시 욕지면 동항리 787-1,통영시립욕지도서관,통영시립욕지도서관,N,경상남도,통영시,통영
2203,통영시립충무도서관,경상남도 통영시 용남면 기호바깥길 7-87,34.8732994,128.420478,경상남도,통영시,148238,148238,055-650-2640,055-650-2649,http://www.tongyeonglib.or.kr/,"평일(화~금) 09:00~23:00(아동·유아자료실은 21:00까지), 주말(토,일) 09:00~18:00",매주 금요일 / 법정공휴일,1,공공,지자체,2013,53017,1084125.67051106,1653563.97233797,2013,2015,2200,충무,MD,12,경상남도 통영시 용남면 장문리 910,통영시립충무도서관,통영시립충무도서관,N,경상남도,통영시,통영
