ANALS_TRGET_YEAR,ANALS_TRGET_MT,ANALS_TRGET_DAY,ONE_AREA_NM,TWO_AREA_NM,LON_CO
"2018","01","31","강원도","강릉시","587"
"2018","01","31","강원도","고성군","73"
"2018","01","31","강원도","동해시","990"
"2018","01","31","강원도","삼척시","446"
"2018","01","31","강원도","속초시","802"
"2018","01","31","강원도","양구군","270"
"2018","01","31","강원도","양양군","79"
"2018","01","31","강원도","영월군","67"
"2018","01","31","강원도","원주시","3316"
"2018","01","31","강원도","인제군","168"
"2018","01","31","강원도","정선군","157"
"2018","01","31","강원도","철원군","139"
"2018","01","31","강원도","춘천시","515"
"2018","01","31","강원도","태백시","563"
"2018","01","31","강원도","평창군","306"
"2018","01","31","강원도","홍천군","166"
"2018","01","31","강원도","화천군","67"
"2018","01","31","강원도","횡성군","86"
"2018","01","31","경기도","가평군","361"
"2018","01","31","경기도","고양시 덕양구","5082"
"2018","01","31","경기도","고양시 일산동구","3648"
"2018","01","31","경기도","고양시 일산서구","3437"
"2018","01","31","경기도","과천시","762"
"2018","01","31","경기도","광명시","5289"
"2018","01","31","경기도","광주시","2850"
"2018","01","31","경기도","구리시","2069"
"2018","01","31","경기도","김포시","3285"
"2018","01","31","경기도","남양주시","7227"
"2018","01","31","경기도","동두천시","599"
"2018","01","31","경기도","부천시","8538"
"2018","01","31","경기도","성남시 분당구","9220"
"2018","01","31","경기도","성남시 수정구","1815"
"2018","01","31","경기도","성남시 중원구","1153"
"2018","01","31","경기도","수원시 권선구","3947"
"2018","01","31","경기도","수원시 영통구","4382"
"2018","01","31","경기도","수원시 장안구","3243"
"2018","01","31","경기도","수원시 팔달구","2587"
"2018","01","31","경기도","안산시 단원구","3360"
"2018","01","31","경기도","안산시 상록구","2301"
"2018","01","31","경기도","안양시 동안구","8937"
"2018","01","31","경기도","안양시 만안구","3165"
"2018","01","31","경기도","양주시","1963"
"2018","01","31","경기도","양평군","1230"
"2018","01","31","경기도","여주시","994"
"2018","01","31","경기도","연천군","494"
"2018","01","31","경기도","오산시","3393"
