ANALS_TRGET_YEAR,ANALS_TRGET_MT,AREA_NM,AGE_FLAG_NM,SEXDSTN_FLAG_NM,LON_CO,LON_MBER_CO,READ_QY
2020,01,강원도,영유아(0-5),남자,1480,182,8.132
2020,01,강원도,영유아(0-5),여자,1403,150,9.353
2020,01,강원도,유아(6-7),남자,2108,246,8.569
2020,01,강원도,유아(6-7),여자,1774,208,8.529
2020,01,강원도,초등(8-13),남자,12535,1515,8.274
2020,01,강원도,초등(8-13),여자,14195,1775,7.997
2020,01,강원도,청소년(14-19),남자,4454,987,4.513
2020,01,강원도,청소년(14-19),여자,6862,1579,4.346
2020,01,강원도,20대,남자,3727,793,4.7
2020,01,강원도,20대,여자,5823,1386,4.201
2020,01,강원도,30대,남자,7398,1186,6.238
2020,01,강원도,30대,여자,19416,2822,6.88
2020,01,강원도,40대,남자,17614,2469,7.134
2020,01,강원도,40대,여자,26973,4102,6.576
2020,01,강원도,50대,남자,7770,1254,6.196
2020,01,강원도,50대,여자,8007,1459,5.488
2020,01,강원도,60대이상,남자,7590,1032,7.355
2020,01,강원도,60대이상,여자,3814,630,6.054
2020,01,경기도,영유아(0-5),남자,33589,2825,11.89
2020,01,경기도,영유아(0-5),여자,35651,2843,12.54
2020,01,경기도,유아(6-7),남자,57165,4676,12.225
2020,01,경기도,유아(6-7),여자,58318,4517,12.911
2020,01,경기도,초등(8-13),남자,242473,24017,10.096
2020,01,경기도,초등(8-13),여자,250969,25058,10.016
2020,01,경기도,청소년(14-19),남자,55573,11517,4.825
2020,01,경기도,청소년(14-19),여자,81274,17558,4.629
2020,01,경기도,20대,남자,46245,12286,3.764
2020,01,경기도,20대,여자,90955,23315,3.901
2020,01,경기도,30대,남자,112439,16944,6.636
2020,01,경기도,30대,여자,387255,47021,8.236
2020,01,경기도,40대,남자,348554,43087,8.09
2020,01,경기도,40대,여자,675155,80281,8.41
2020,01,경기도,50대,남자,104683,18422,5.682
2020,01,경기도,50대,여자,119577,21630,5.528
2020,01,경기도,60대이상,남자,80602,12833,6.281
2020,01,경기도,60대이상,여자,54132,8593,6.3
2020,01,경상남도,영유아(0-5),남자,6533,755,8.653
2020,01,경상남도,영유아(0-5),여자,6282,711,8.835
2020,01,경상남도,유아(6-7),남자,8587,992,8.656
2020,01,경상남도,유아(6-7),여자,7884,912,8.645
2020,01,경상남도,초등(8-13),남자,38893,4835,8.044
2020,01,경상남도,초등(8-13),여자,39220,4939,7.941
2020,01,경상남도,청소년(14-19),남자,9604,2105,4.562
2020,01,경상남도,청소년(14-19),여자,14457,3337,4.332
2020,01,경상남도,20대,남자,5802,1633,3.553
2020,01,경상남도,20대,여자,10855,2754,3.942
2020,01,경상남도,30대,남자,13868,2352,5.896
2020,01,경상남도,30대,여자,48444,7119,6.805
2020,01,경상남도,40대,남자,35353,5228,6.762
2020,01,경상남도,40대,여자,67775,9994,6.782
2020,01,경상남도,50대,남자,10693,2081,5.138
2020,01,경상남도,50대,여자,11900,2442,4.873
2020,01,경상남도,60대이상,남자,10058,1556,6.464
2020,01,경상남도,60대이상,여자,6703,1080,6.206
2020,01,경상북도,영유아(0-5),남자,3523,374,9.42
2020,01,경상북도,영유아(0-5),여자,3323,341,9.745
2020,01,경상북도,유아(6-7),남자,5176,537,9.639
2020,01,경상북도,유아(6-7),여자,4296,482,8.913
2020,01,경상북도,초등(8-13),남자,22552,2662,8.472
2020,01,경상북도,초등(8-13),여자,21468,2558,8.392
2020,01,경상북도,청소년(14-19),남자,6207,1352,4.591
2020,01,경상북도,청소년(14-19),여자,11132,2517,4.423
2020,01,경상북도,20대,남자,4913,1149,4.276
2020,01,경상북도,20대,여자,7963,1828,4.356
2020,01,경상북도,30대,남자,11273,1608,7.011
2020,01,경상북도,30대,여자,32869,4431,7.418
2020,01,경상북도,40대,남자,23911,3197,7.479
2020,01,경상북도,40대,여자,40629,5931,6.85
2020,01,경상북도,50대,남자,7710,1368,5.636
2020,01,경상북도,50대,여자,9611,1753,5.483
2020,01,경상북도,60대이상,남자,7650,1097,6.974
2020,01,경상북도,60대이상,여자,5326,744,7.159
2020,01,광주광역시,영유아(0-5),남자,2217,231,9.597
2020,01,광주광역시,영유아(0-5),여자,1268,149,8.51
2020,01,광주광역시,유아(6-7),남자,3489,360,9.692
2020,01,광주광역시,유아(6-7),여자,2422,245,9.886
2020,01,광주광역시,초등(8-13),남자,13654,1645,8.3
2020,01,광주광역시,초등(8-13),여자,14082,1654,8.514
2020,01,광주광역시,청소년(14-19),남자,3138,669,4.691
2020,01,광주광역시,청소년(14-19),여자,5325,1176,4.528
2020,01,광주광역시,20대,남자,2456,641,3.832
2020,01,광주광역시,20대,여자,5084,1280,3.972
2020,01,광주광역시,30대,남자,6889,1002,6.875
2020,01,광주광역시,30대,여자,22282,3069,7.26
2020,01,광주광역시,40대,남자,18595,2485,7.483
2020,01,광주광역시,40대,여자,29910,4304,6.949
2020,01,광주광역시,50대,남자,4672,853,5.477
2020,01,광주광역시,50대,여자,5374,1097,4.899
2020,01,광주광역시,60대이상,남자,4479,764,5.863
2020,01,광주광역시,60대이상,여자,3304,515,6.416
2020,01,대구광역시,영유아(0-5),남자,4337,325,13.345
2020,01,대구광역시,영유아(0-5),여자,4806,352,13.653
