,FCLTY_NM,LCLAS_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,lat,lon,OPTN_DC,ADIT_DC,AREA
0,강릉야행북카페,북카페,25528.0,"강원 강릉시 임영로155번길 6 1층 45,47호",37.75507449,128.8908507,"가득 들어선 책장과 우드테이블, 조명을 통해 아기자기하고 따뜻한 느낌을 받을 수 있는 카페",카페 : 있음,강원
1,북카페 봄날에 연애,북카페,26417.0,강원 원주시 옛시청길 20,37.35267182,127.9445849,"텃밭에서 직접 키운 애플민트로 만드는 쿠바 정통 모힘또, 작가 사인본을 비롯한 신간을 판매",카페 : 있음,강원
2,북카페 책 있는 숲,북카페,26021.0,강원 태백시 황지로 28 / 3층,37.16134323,128.9907952,"""중고서적을 판매하며 여유롭게 차를 마실 수 있는 공간, 책도 읽고 공부도 할 수 있음","주차 : 가능, 카페 : 있음",강원
3,북카페 뜨락,북카페,24114.0,강원 화천군 화천읍 산천어길 79,38.10878303,127.7115643,"안락하고 모던한 분위기의 북카페, 밸런스 좋은 커피와 신선한 디저트 준비","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",강원
4,한낮의 바다,독립서점,25505.0,"강원도 강릉시 강릉대로159번안길 12 1층, 서점 한낮의 바다",37.75772063,128.8890879,일상의 쉼을 이야기하는 책을 소개하는 셀렉트 북샵,카페 : 있음,강원
5,안목책방,북카페,25560.0,강원도 강릉시 경강로 2581 1층1호,37.77373799,128.9417205,안목있는 분들이 좋은책 골라가시는 책방,"주차 : 가능, 카페 : 있음",강원
6,명주사랑채,북카페,25538.0,강원도 강릉시 경강로2046번길 11,37.75087376,128.8931483,독서활동장소,"카페 : 있음, 리뷰여부 : 있음",강원
7,북스북스,북카페,25510.0,강원도 강릉시 솔올로 66 문화빌딩 2층,37.76778024,128.8789814,만화카페,"화장실 남녀구분 : 구분, 카페 : 있음",강원
8,카페에세이,북카페,25429.0,강원도 강릉시 연곡면 영진길 33 ES프라우드 101호,37.87126334,128.8399422,영진해변과 도깨비 촬영지에서 가까워 피크닉 세트를 대영해서 해변에서 피크닉을 즐길 수 있음,"주차 : 가능, 카페 : 있음",강원
9,고래책방,일반서점,25551.0,강원도 강릉시 율곡로 2848,37.75823514,128.8972155,책과 은은한 커피와 빵굽는 냄새로 가득한 고래책방,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",강원
10,책다방,북카페,25516.0,강원도 강릉시 정원로 78-9,37.76350145,128.8731987,"커피향보다 진한 사람냄새나는 북카페, 프랑스 자수에 관심있는 분들을 위한 자수 놓는 공간","주차 : 가능, 카페 : 있음",강원
11,북카페 모모,카페,25532.0,강원도 강릉시 토성로 180 모모의 외출,37.75672359,128.8957596,독서활동장소,카페 : 있음,강원
12,마나카페,북카페,25768.0,강원도 동해시 대학로 14 105호,37.52167056,129.1136095,독서활동장소,"화장실 남녀구분 : 구분, 카페 : 있음",강원
13,해뜰카페테리아,북카페,25701.0,강원도 동해시 동해대로 6261,37.59123873,129.0894075,독서활동장소,카페 : 있음,강원
14,카페인51,북카페,25813.0,강원도 동해시 오일장길 23-1 1층,37.48176917,129.1261654,"동해시 북평장에 위치한 카페, 다양한 음료와 디저트를 판매","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",강원
15,서호책방,일반서점,25807.0,강원도 동해시 청운로 84 1동 103호,37.48757773,129.1030215,큐레이션 책방과 카페,"주차 : 가능, 카페 : 있음",강원
16,내고향탄광촌북까페,북카페,25947.0,강원도 삼척시 강원남부로 1446,37.23376667,129.0423632,독서활동장소,카페 : 있음,강원
17,만화인카페,북카페,25920.0,강원도 삼척시 진주로 26 신세기상가,37.44277223,129.1641855,만화케페,카페 : 있음,강원
18,설악산책,카페,24867.0,강원도 속초시 관광로 439,38.19864821,128.5351101,"누구나 자유롭게 방문 가능한 복합 문화 공간, 1만여권의 도서를 열람할 수 있는 북카페","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",강원
19,느린커피,북카페,24874.0,강원도 속초시 동해대로 4165,38.19109031,128.579272,다양한 메뉴와 책을 접할 수 있는 북카페[,"화장실 남녀구분 : 구분, 카페 : 있음",강원
20,서재,카페,24827.0,강원도 속초시 번영로 142,38.21136465,128.5893674,책과 커피가 있는 작은 공간,"주차 : 가능, 카페 : 있음",강원
21,완벽한 날들,북스테이,24827.0,강원도 속초시 수복로259번길 7,38.21054665,128.5910815,"서점과 카페, 게스트하우스가 함께하는 복합문화공간",카페 : 있음,강원
22,카페 골목길,북카페,24835.0,강원도 속초시 중앙로129번길 8,38.20318386,128.5902192,독서활동장소,카페 : 있음,강원
23,인디문학 1호점,일반서점,26237.0,강원도 영월군 영월읍 하송로 97,37.17963656,128.4609435,"문학전문, 독립출판물, 동네책방, 커피, 차, 맥주",카페 : 있음,강원
24,북까페버드힐,북카페,26455.0,강원도 원주시 고문골길 104-14,37.33750406,128.0083457,치악산 경치가 아름다운 곳에서 에니어그램전문가가 교육도 가능,"주차 : 가능, 카페 : 있음",강원
25,카페틔움,북카페,26412.0,강원도 원주시 남산로 209,37.35471171,127.9420844,"청소년들의 길잡이별, 동네 사랑방 공간, 책과 커피가 있는 힐링공간",카페 : 있음,강원
26,망스의북다방,만화방,26392.0,강원도 원주시 능라동길 48,37.33436489,127.92995,"편하ㅔ 만화책 볼 수 있는 공간, 즐겁게 데이트 할 수 있는 공간","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",강원
27,코이노니아,북카페,26471.0,강원도 원주시 라옹정길 3-13,37.31820852,127.9639814,음료와 책을 즐길 수 있는 북카페,카페 : 있음,강원
